,0,1,2,3,4,5,6,7,8,9
8086,40,49,21,59,22,67,70,62,50,71
51166,74,39,44,37,10,24,73,73,15,6
195827,69,67,37,58,26,53,31,35,10,44
79719,4,45,70,49,60,51,76,32,45,75
22848,8,28,67,34,23,78,40,78,78,52
28971,51,12,1,0,29,32,9,54,15,16
14,73,32,48,77,28,59,24,45,78,17
16,33,19,45,57,27,51,73,73,48,27
132949,55,49,52,61,22,77,78,11,56,20
60496,2,13,72,53,21,59,33,29,17,5
10157,54,71,61,63,11,31,11,56,47,62
26574,49,30,30,73,74,5,28,27,35,36
18,72,73,57,51,60,24,8,44,37,17
23461,48,61,15,56,45,43,45,5,43,13
22,41,40,42,56,44,60,9,77,52,57
10057,14,67,0,29,43,23,0,10,19,77
5825,41,23,64,11,33,79,59,56,63,62
5826,61,76,36,35,54,72,32,0,2,31
6059,33,7,28,5,75,69,25,17,26,55
23,62,14,13,71,13,7,3,67,62,36
10061,4,32,18,13,40,14,36,3,13,75
25864,11,76,60,66,54,72,15,0,2,31
11057,8,51,38,18,4,16,50,20,79,17
10006,46,53,6,19,57,2,77,11,29,32
10152,6,43,44,65,20,58,64,25,28,67
25,70,32,34,38,59,14,36,52,46,22
3983,61,69,36,55,54,72,32,0,20,31
29,58,79,8,42,40,62,12,45,57,22
29777,31,70,77,42,27,54,24,17,3,6
30,62,46,13,71,47,20,14,8,73,4
10449,47,23,42,27,2,61,65,56,17,62
80724,62,61,67,30,45,23,10,20,28,13
34,59,8,38,72,4,8,8,20,63,59
36,4,54,48,13,24,35,1,9,13,24
37,7,43,44,25,18,32,73,53,17,10
23527,13,2,42,46,64,47,9,6,49,51
38,0,43,20,58,36,79,10,34,70,5
39,8,55,1,65,52,79,43,45,79,2
64746,2,43,25,35,9,32,59,20,72,16
91452,1,77,74,43,42,7,55,28,68,34
84320,9,70,48,13,10,13,63,9,74,73
65057,43,7,73,54,55,62,62,72,34,55
55331,0,67,3,21,36,9,31,65,54,77
22985,72,67,72,52,36,0,60,65,1,69
47,61,69,62,66,54,72,32,31,20,31
48,9,54,75,38,18,35,73,15,27,22
50,42,24,40,20,38,47,46,51,0,11
55856,6,65,44,45,1,13,5,20,30,73
10965,48,61,15,15,45,43,71,77,52,13
11332,59,32,58,52,58,51,57,34,45,2
10005,48,63,54,56,71,43,53,19,68,53
23597,70,38,18,13,58,35,40,3,34,2
51,49,30,30,16,78,5,26,27,35,50
52,9,70,77,6,51,62,37,55,37,22
53,3,78,72,58,23,11,60,35,1,69
2181,73,70,51,38,6,24,38,39,45,2
2182,78,61,25,15,63,52,10,23,17,70
79611,26,48,41,54,33,19,62,24,26,65
60,36,43,71,18,2,21,65,20,77,18
71,78,51,32,27,20,79,5,25,16,16
86,24,66,24,17,14,29,67,36,11,49
87,37,2,45,72,16,75,33,12,6,26
81,61,69,36,35,10,72,32,31,15,31
55860,57,39,5,52,27,50,37,54,13,24
10121,8,22,5,1,28,16,73,53,79,63
10120,20,52,60,71,34,65,61,76,43,4
10097,38,10,43,55,10,13,33,52,6,59
10096,30,68,16,11,45,18,19,69,41,13
