,0,1,2,3,4,5,6,7,8,9
8086,60,56,50,52,55,36,39,35,38,50
51166,67,42,26,55,30,65,7,58,22,45
195827,60,36,39,10,43,60,48,16,12,57
79719,51,29,49,15,49,50,8,1,48,60
22848,9,8,50,13,6,0,38,63,29,11
28971,6,44,10,4,39,11,44,69,24,63
14,0,27,46,0,18,24,65,35,11,41
16,6,12,66,11,27,2,9,59,16,44
132949,16,50,3,18,60,49,6,63,38,20
60496,28,44,49,27,39,11,44,69,35,28
10157,13,56,0,18,48,6,6,10,62,46
26574,2,30,21,65,58,66,33,23,1,5
18,58,14,62,61,54,47,5,60,52,51
23461,16,50,28,19,67,29,47,7,46,44
22,51,38,40,27,5,29,39,37,35,58
10057,7,58,63,56,57,57,63,62,3,53
5825,54,67,32,57,34,55,60,23,4,68
5826,39,1,31,68,7,17,53,18,4,42
6059,34,21,66,19,26,3,52,37,49,60
23,5,28,56,40,33,14,11,23,15,60
10061,69,50,40,18,28,28,6,50,33,37
25864,28,56,17,27,65,24,39,63,63,20
11057,68,60,56,68,52,17,8,1,4,2
10006,25,25,16,42,56,31,15,57,42,33
10152,51,29,59,23,26,28,52,0,19,60
25,39,4,20,44,13,18,3,6,25,43
3983,16,56,23,18,68,42,12,7,33,60
29,26,1,32,68,52,17,10,68,4,42
29777,9,27,46,0,6,0,39,17,40,41
30,47,30,57,59,29,29,44,69,35,28
10449,62,1,41,57,24,48,50,19,65,43
80724,45,52,46,52,18,34,2,13,40,48
34,57,22,56,68,52,58,67,23,4,55
36,22,8,44,26,42,44,56,32,12,3
37,54,16,44,2,58,61,60,1,27,68
23527,59,0,6,18,41,6,57,12,38,50
38,46,6,19,47,14,62,6,64,56,11
39,11,14,62,61,54,47,5,60,51,51
64746,5,41,62,61,7,47,25,60,4,51
91452,57,22,24,40,7,3,32,11,15,32
84320,24,9,69,69,46,13,19,43,28,59
65057,17,66,22,8,52,46,67,68,5,22
55331,47,30,57,34,29,61,31,54,9,28
22985,34,21,53,27,19,25,41,0,30,66
47,16,37,28,19,12,38,16,1,51,3
48,58,14,62,61,54,47,5,60,52,51
50,69,5,68,58,1,62,66,22,56,46
55856,69,21,7,58,1,63,6,64,56,69
10965,60,15,2,13,1,63,38,39,13,30
11332,27,35,11,67,23,15,54,20,34,6
10005,59,46,58,18,25,0,39,10,11,50
23597,0,53,50,18,55,28,0,0,67,41
51,5,41,28,4,58,38,33,56,46,5
52,45,27,46,52,18,34,65,35,40,48
53,69,27,6,13,28,6,58,17,56,46
2181,18,22,12,65,29,58,31,56,43,52
2182,54,3,44,40,11,14,60,54,27,56
79611,16,18,23,50,12,21,47,24,50,58
60,41,3,32,57,33,58,53,49,51,55
71,45,27,17,50,41,24,65,10,62,50
86,43,15,68,13,1,62,68,39,23,37
87,47,23,7,34,29,50,9,7,50,28
81,54,3,24,39,29,58,32,54,27,28
55860,8,4,20,41,47,1,30,2,36,24
10121,34,36,42,49,43,60,48,45,21,57
10120,18,26,10,4,17,38,51,47,43,63
10097,2,22,3,65,11,11,56,69,24,32
10096,18,26,10,4,17,27,51,47,43,63
64431,33,53,40,0,41,53,57,59,38,66
93973,45,52,46,52,18,34,65,13,40,48
91,10,61,34,9,0,23,54,20,41,10
92,47,31,44,19,58,61,9,51,27,56
93,12,62,48,54,21,5,59,30,17,17
97,5,23,51,15,34,3,9,37,48,32
98,0,0,55,7,42,9,38,32,33,20
161823,14,42,26,66,30,39,7,6,25,38
102,9,17,17,26,6,67,57,64,38,50
6868,23,28,56,48,61,66,11,23,51,18
8754,42,33,16,42,15,31,15,41,42,33
9510,33,15,7,26,48,64,58,17,62,46
11174,11,67,12,2,32,21,52,1,16,52
56999,46,18,0,47,14,2,66,50,11,36
103,22,57,42,50,44,44,56,5,9,69
23536,29,23,66,26,6,28,12,59,38,50
118,62,43,33,44,33,46,30,2,14,31
120,32,22,51,15,11,3,61,33,12,13
166647,29,6,40,18,49,9,45,35,67,20
9289,32,22,31,57,61,55,53,23,4,55
22859,12,62,21,54,21,49,59,33,1,17
23266,13,5,68,58,14,6,6,16,38,11
23284,43,15,0,58,1,62,66,39,23,26
84059,6,30,50,34,27,29,44,7,35,28
128,9,23,2,49,5,0,12,53,30,30
55256,2,30,56,2,58,66,11,1,51,52
51094,32,37,59,47,32,21,20,37,50,14
79602,28,31,34,9,37,23,28,33,63,6
132,60,56,58,7,60,36,58,59,38,50
23394,63,36,66,47,19,67,52,4,30,54
22850,43,15,0,13,1,45,66,39,23,26
84890,60,2,7,10,44,67,16,53,49,30
83440,5,41,51,49,68,64,52,5,49,13
11047,15,41,51,10,68,52,61,36,12,65
158,45,52,46,52,18,34,2,13,40,48
159,22,12,23,19,60,49,20,51,9,9
121536,29,46,6,11,27,63,45,50,33,69
166,53,3,24,57,7,69,32,11,1,55
60312,38,19,5,55,36,33,21,3,25,45
4301,45,52,46,52,18,34,65,63,40,48
3899,51,44,13,26,39,11,56,37,49,5
27125,9,56,40,27,28,9,58,35,11,11
172,33,21,39,50,28,40,17,67,30,30
10939,10,31,34,19,37,2,28,51,63,19
54812,3,15,0,58,1,62,68,22,56,26
175,13,56,7,18,27,63,44,22,11,11
116987,62,43,5,24,13,10,1,58,25,38
60509,31,36,30,49,26,25,39,37,19,19
3267,35,8,13,15,49,36,62,33,9,9
55109,29,50,23,50,48,38,16,67,24,9
178,9,52,58,64,25,9,65,10,33,41
26523,2,31,44,48,61,66,9,56,63,5
27161,51,24,13,59,29,69,32,69,24,32
192669,53,23,45,59,39,3,67,36,48,32
192670,19,20,29,56,57,54,4,26,3,47
10554,26,39,31,12,33,55,36,21,39,42
56894,32,44,10,23,39,38,31,1,43,32
56895,38,19,27,32,36,18,21,58,25,40
55326,29,50,58,64,28,0,6,67,64,9
8540,17,45,22,68,33,35,10,68,39,55
23287,67,42,33,24,30,65,30,58,14,39
57085,8,45,41,12,24,10,32,18,58,24
25909,43,15,68,58,1,45,68,39,23,26
191,22,8,53,49,61,64,41,36,49,17
10768,44,63,27,3,20,51,1,19,8,31
54806,2,3,24,2,58,42,33,1,51,14
10598,55,40,20,28,2,7,69,9,57,62
130872,63,57,42,51,43,60,40,53,30,57
9131,8,51,22,43,24,10,50,19,66,22
51390,22,57,42,51,43,60,48,45,21,57
9255,24,9,69,1,46,59,19,43,7,59
7965,16,28,59,48,39,66,16,51,46,66
9049,23,44,56,2,21,3,11,11,1,18
84962,2,30,3,48,65,42,33,7,24,3
204,17,43,22,68,13,14,67,68,4,4
50808,47,30,49,34,11,61,44,7,35,68
205,33,6,6,18,25,0,47,50,29,0
102157402,47,30,28,40,42,61,9,7,50,5
221264,22,21,49,27,12,25,62,0,30,69
11216,18,26,10,4,17,27,51,47,43,63
11215,45,50,46,18,18,34,65,35,11,48
9590,29,56,40,18,60,9,2,63,38,20
11214,2,29,59,59,5,21,52,37,12,19
8227,52,15,13,10,68,40,8,39,48,13
10270,62,45,31,17,52,14,8,68,59,4
26993,25,33,16,37,56,31,15,57,61,33
10142,41,3,24,57,7,58,32,11,65,14
56672,45,52,46,52,18,34,65,13,40,48
79647,6,57,13,23,27,44,56,69,35,28
55122,58,14,62,61,54,47,5,60,52,51
10327,46,36,30,21,5,64,41,53,13,66
231,15,28,18,63,58,38,61,28,31,65
8574,16,46,12,65,12,50,16,12,46,3
207,69,15,7,13,68,45,68,29,53,37
208,12,62,48,54,21,5,59,30,17,17
10000,60,17,17,26,6,24,0,12,49,27
64400,31,23,51,51,43,64,17,4,21,69
210,7,58,63,35,22,16,13,40,69,53
211,66,51,61,32,64,10,18,31,32,25
214,52,41,7,10,32,66,16,32,48,13
5832,9,53,17,23,49,38,62,56,46,52
217,54,30,57,39,52,61,60,7,2,18
224,23,18,50,47,58,44,52,33,16,52
7915,31,66,3,15,49,66,62,37,50,60
4329,45,52,46,52,18,34,2,13,40,48
501,17,60,36,57,69,10,10,49,47,21
223,66,26,61,45,31,55,18,31,59,25
226,16,12,2,48,65,49,38,16,16,20
79868,2,30,3,40,42,42,9,7,52,9
85365,65,51,33,44,52,10,30,2,58,39
10195,18,22,56,68,31,55,64,21,15,42
29880,60,18,66,19,37,23,54,59,63,54
79053,33,17,19,11,42,28,47,17,11,5
54890,8,42,20,41,47,1,1,58,66,8
84266,69,56,6,11,68,45,39,50,38,48
7840,11,66,28,12,34,58,53,49,47,68
57679,61,17,40,26,65,28,12,0,19,19
10189,0,46,3,0,60,50,0,35,9,3
262,32,28,19,48,58,42,11,24,12,52
267,12,12,21,54,21,66,59,56,9,23
9949,35,66,1,62,34,55,53,1,48,32
