,0,1,2,3,4,5,6,7,8,9
8086,8,4,0,9,2,8,13,5,3,6
51166,2,2,3,1,1,4,4,12,17,7
195827,12,0,17,18,15,0,8,18,6,17
79719,8,8,0,14,2,8,1,5,3,6
22848,10,13,19,4,7,14,16,3,1,10
28971,9,14,5,19,5,7,8,4,5,19
14,0,15,4,0,1,15,6,1,15,12
16,8,4,0,9,2,8,1,5,3,6
132949,19,15,3,0,12,9,17,1,13,7
60496,0,8,0,14,19,15,1,17,15,12
10157,1,3,5,18,15,3,15,7,5,19
26574,10,13,11,3,1,1,4,17,15,3
18,14,2,3,1,16,18,6,12,0,10
22,19,13,6,0,12,4,4,1,13,7
10057,8,8,0,9,19,8,1,5,3,6
5825,16,15,3,17,12,18,7,19,6,4
5826,16,1,4,14,6,9,7,9,6,4
6059,11,1,17,16,6,13,7,12,6,10
23,0,4,11,3,19,15,17,17,15,12
10061,15,6,16,7,3,12,15,15,2,1
25864,18,17,15,10,10,2,11,6,9,0
11057,1,19,12,18,3,0,15,18,2,8
10006,19,16,6,1,1,18,4,1,6,7
10152,11,17,1,17,6,1,17,9,7,4
25,0,8,11,3,4,15,5,9,15,3
3983,9,14,7,19,5,7,14,4,4,19
29,2,16,3,15,12,18,4,12,0,10
29777,9,14,5,19,3,7,15,4,5,19
30,4,0,12,8,14,18,15,18,2,8
10449,3,19,12,8,3,0,3,8,2,8
34,0,8,4,14,19,15,1,17,15,12
36,4,11,16,7,18,0,9,14,11,16
37,8,4,0,9,2,8,13,5,3,6
23527,1,0,5,18,3,3,15,7,5,19
38,10,13,11,3,4,1,16,17,15,7
39,8,8,0,9,2,8,13,9,3,12
64746,0,8,4,14,19,1,17,9,15,4
91452,5,12,14,12,13,6,10,13,14,11
84320,8,8,0,14,19,15,1,9,3,12
65057,10,17,1,4,7,1,19,6,9,0
55331,18,17,15,17,10,2,11,6,9,0
22985,10,13,19,4,4,14,16,3,1,3
47,0,8,4,14,18,1,5,17,6,4
48,0,1,4,17,6,9,5,9,15,4
50,0,15,4,14,6,1,5,5,15,4
55856,18,17,15,10,10,2,11,6,9,0
10965,7,9,8,6,0,5,0,0,8,13
11332,15,6,13,2,13,17,14,15,14,5
10005,12,2,17,15,1,11,4,12,6,7
23597,8,4,0,9,2,8,1,5,3,6
51,3,0,12,7,3,0,12,8,2,1
52,8,4,0,9,2,8,13,5,3,6
53,12,0,17,16,16,13,7,19,7,17
2181,0,8,11,3,19,15,1,17,15,12
2182,19,15,4,0,12,9,17,9,7,10
79611,14,3,3,1,15,18,6,11,2,9
60,8,4,0,9,2,8,1,5,3,6
71,11,3,1,16,1,3,7,19,19,17
86,12,2,5,1,18,18,15,18,6,8
87,8,4,0,9,2,8,13,5,3,6
81,0,8,11,3,19,15,17,17,15,12
55860,11,1,4,16,6,9,5,17,15,4
10121,8,4,0,9,2,8,13,5,3,6
10120,8,8,0,9,19,8,1,5,3,6
10097,9,14,13,19,3,7,14,4,4,19
10096,12,2,5,7,15,3,3,18,2,17
64431,0,16,6,0,1,9,4,1,7,7
93973,8,4,0,9,2,8,13,5,3,6
91,0,8,4,14,19,15,1,9,15,12
92,14,13,19,4,7,14,12,11,1,9
93,19,15,6,0,1,4,5,9,13,10
97,12,19,5,8,14,11,3,6,0,0
98,8,4,0,9,2,8,13,5,3,6
161823,10,13,19,3,4,14,19,3,1,3
102,0,13,11,3,4,1,19,17,7,3
6868,8,4,0,9,19,8,1,9,3,6
8754,4,19,16,8,9,16,9,14,11,16
9510,18,17,15,10,10,2,11,6,9,0
103,0,8,4,14,19,1,5,9,15,12
23536,0,15,6,0,19,14,16,17,15,7
118,12,0,19,5,18,13,3,7,11,2
120,0,1,4,14,6,9,17,9,15,12
166647,11,1,11,17,6,13,7,19,15,12
22859,0,8,11,3,19,15,1,17,15,3
23266,3,17,12,7,3,11,3,8,2,1
23284,10,1,1,17,1,9,7,17,7,4
84059,12,2,5,5,14,3,15,14,0,2
128,0,8,11,3,19,15,1,17,15,12
55256,8,4,0,9,19,8,1,5,3,6
51094,8,4,0,9,2,8,13,5,3,6
79602,11,0,1,5,15,3,19,3,19,17
132,0,8,4,14,19,15,1,5,15,12
23394,8,4,0,9,2,8,13,5,3,6
22850,4,18,12,7,3,12,8,8,2,1
84890,18,17,15,17,10,2,11,6,9,0
83440,7,9,8,6,0,5,0,0,8,13
11047,8,4,0,9,2,8,13,5,3,6
158,8,4,0,9,2,8,1,5,3,6
159,0,15,4,14,19,15,17,9,15,12
121536,18,18,15,10,3,6,11,8,2,11
166,8,8,0,14,19,15,1,9,3,12
60312,8,4,0,9,2,8,13,5,3,6
4301,19,15,3,0,12,4,6,1,13,7
27125,10,13,19,3,15,14,16,3,19,2
172,8,4,0,9,2,8,13,5,3,6
10939,15,6,13,11,5,17,8,15,18,1
54812,3,11,16,7,16,16,8,8,17,8
175,0,16,1,0,1,1,6,17,15,12
116987,4,11,12,1,18,0,9,18,11,8
60509,0,8,0,14,19,15,1,9,15,12
3267,10,13,3,3,4,14,19,3,1,3
55109,12,2,17,8,14,13,7,18,0,17
178,7,9,13,2,5,6,14,15,8,5
26523,4,11,18,2,3,16,9,14,11,16
27161,11,1,1,17,12,1,17,19,7,4
192669,16,3,12,8,16,11,3,12,0,17
192670,0,8,4,14,19,15,1,9,15,12
10554,3,19,16,7,9,16,9,8,17,8
56895,11,1,17,17,6,13,7,19,6,4
55326,0,8,4,14,19,15,1,9,15,12
8540,2,19,17,8,14,11,3,19,0,8
23287,18,17,17,4,7,2,11,11,9,9
57085,16,1,4,17,1,9,5,19,6,4
25909,8,4,0,9,2,8,13,5,3,6
191,8,4,0,9,2,8,13,5,3,6
10768,0,15,4,0,19,15,17,5,15,6
54806,10,13,11,3,19,14,16,3,15,12
10598,11,1,1,16,1,9,7,19,6,4
130872,8,4,0,9,19,8,1,5,3,6
9131,9,11,7,7,16,7,8,4,5,1
51390,10,13,11,3,4,14,16,3,7,3
9255,18,17,15,1,10,2,11,6,0,0
7965,8,4,0,9,2,8,13,5,3,6
9049,11,15,10,17,19,9,17,9,16,14
84962,16,2,19,4,7,14,16,3,1,9
204,8,4,0,9,2,8,13,5,3,6
50808,6,5,18,13,17,19,18,16,10,15
205,8,4,0,9,2,8,13,5,3,6
102157402,19,16,3,0,12,18,6,1,13,7
11216,17,6,13,7,5,17,2,15,18,1
11215,19,1,3,17,6,4,5,1,13,10
9590,19,15,6,0,12,9,4,12,13,10
11214,8,4,0,9,2,8,1,5,3,6
8227,8,4,0,9,2,8,13,5,3,6
10270,8,8,0,9,19,15,1,5,3,6
26993,8,4,0,9,2,8,1,5,3,6
10142,0,8,4,14,19,15,1,9,15,12
56672,8,8,0,14,19,8,1,5,3,12
79647,10,15,11,3,4,15,16,17,15,3
55122,14,1,1,16,6,13,7,19,7,4
10327,8,4,0,9,2,8,13,5,3,6
231,0,15,11,14,19,1,1,17,15,12
8574,12,2,3,15,16,18,4,19,7,17
208,14,15,4,0,1,18,4,1,6,4
10000,0,8,4,14,19,15,1,5,15,12
64400,0,8,11,3,19,15,1,17,15,12
210,8,4,0,9,2,8,13,5,3,6
211,11,1,1,17,6,9,7,9,7,4
214,2,11,16,7,16,16,9,12,17,16
5832,19,15,6,0,1,4,6,1,13,10
217,19,16,3,0,1,18,6,1,7,7
224,16,13,19,3,4,14,16,3,7,3
7915,1,2,5,18,15,3,7,19,19,17
4329,0,8,11,3,19,15,17,17,15,12
501,8,4,0,9,2,15,1,5,3,6
223,0,8,0,14,19,15,17,9,15,12
226,15,14,7,19,13,17,14,10,4,11
79868,11,15,4,14,19,9,17,9,15,4
85365,10,13,11,3,4,15,19,17,1,3
10195,0,1,4,17,6,1,5,9,15,4
29880,10,13,19,4,4,14,19,3,7,3
79053,0,8,4,14,19,15,17,9,15,12
54890,18,17,15,10,10,2,11,6,9,0
84266,15,3,12,7,3,11,15,8,18,8
7840,8,4,0,9,2,8,13,5,3,6
57679,11,15,1,17,1,9,4,9,15,4
10189,14,15,17,16,6,13,4,19,7,17
262,11,1,6,0,19,9,17,5,13,4
9949,11,1,1,16,6,9,5,9,16,4
83607,12,3,5,18,15,3,15,7,0,2
196394,10,13,19,4,4,14,16,3,1,3
154810,8,4,0,14,19,15,1,5,3,12
51421,8,4,0,9,2,8,13,5,3,6
51321,13,10,10,6,0,5,0,0,16,14
201283,8,4,0,9,19,8,1,9,3,6
