,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
55,ALL,200,250,0.9638723471029235,"0.9786622662537162
",0.9712673066783198
47,ALL,175,250,0.9617497062320894,"0.9806724996767417
",0.9712111029544156
39,ALL,150,250,0.9590491081361638,"0.982321176782077
",0.9706851424591204
73,ALL,250,250,0.9640159412667619,"0.9770500403302756
",0.9705329907985187
31,ALL,125,250,0.9544880266980491,"0.9802877919327376
",0.9673879093153934
7,ALL,100,250,0.9472628062043851,"0.9823911236446594
",0.9648269649245222
54,ALL,200,200,0.9644844517667582,"0.9593569321897096
",0.9619206919782339
46,ALL,175,200,0.9617601244458354,"0.9599288216786025
",0.960844473062219
30,ALL,125,200,0.9543765266756484,"0.9671993547155913
",0.9607879406956199
38,ALL,150,200,0.9609776230308229,"0.9602475232283962
",0.9606125731296096
