,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
31,ALL,125,250,0.913319370901803,"0.9837729071221077
",0.9485461390119554
39,ALL,150,250,0.911812463275688,"0.9816670137443483
",0.9467397385100181
7,ALL,100,250,0.9077966656167819,"0.9828139316952083
",0.9453052986559951
47,ALL,175,250,0.918200298804244,"0.9721798209080532
",0.9451900598561487
55,ALL,200,250,0.9184774904898745,"0.9718273635986071
",0.9451524270442409
131,ALL,75,250,0.8997655816974834,"0.9865930862141338
",0.9431793339558086
130,ALL,75,200,0.9068626205708209,"0.9739035818409889
",0.940383101205905
73,ALL,250,250,0.922995810232155,"0.9565686172429722
",0.9397822137375635
6,ALL,100,200,0.9112647779943752,"0.9646902332362757
",0.9379775056153254
129,ALL,75,175,0.90518620699215,"0.967007496876433
",0.9360968519342915
30,ALL,125,200,0.9122172828491139,"0.9587213660975872
",0.9354693244733505
38,ALL,150,200,0.9166064470358962,"0.9507481257810798
",0.933677286408488
4,ALL,100,175,0.9073929286784502,"0.9476811745107832
",0.9275370515946166
74,ALL,250,50,0.9645436289858355,"0.8871647230320895
",0.9258541760089625
56,ALL,200,50,0.9617556425639219,"0.8891545189504597
",0.9254550807571909
29,ALL,125,175,0.9152536554307321,"0.9339244064974441
",0.9245890309640881
128,ALL,75,150,0.9076189468511501,"0.9415384214911986
",0.9245786841711743
48,ALL,175,50,0.9583973423529929,"0.8901999167014117
",0.9242986295272023
75,ALL,250,75,0.9579140876020259,"0.8870730945439661
",0.922493591072996
3,ALL,100,150,0.9103592714668562,"0.9343044564766073
",0.9223318639717317
40,ALL,150,50,0.954257684187329,"0.8894674094127758
",0.9218625468000524
49,ALL,175,75,0.9536164990984081,"0.8885427946689224
",0.9210796468836653
32,ALL,125,50,0.949154356606254,"0.8916467097043115
",0.9204005331552827
127,ALL,75,125,0.9060101534285614,"0.9324770928781033
",0.9192436231533323
57,ALL,200,75,0.9550616933209874,"0.8816170345689383
",0.9183393639449628
33,ALL,125,75,0.9384704634841823,"0.8958303831737251
",0.9171504233289537
10,ALL,100,50,0.9393446529037701,"0.8919970845481386
",0.9156708687259544
37,ALL,150,175,0.9217311489662008,"0.9069502290713172
",0.914340689018759
148,ALL,90,40,0.9369865031717959,"0.8905935027072328
",0.9137900029395143
9,ALL,100,40,0.9395640781791812,"0.8878357975843664
",0.9136999378817738
46,ALL,175,200,0.919657075116971,"0.9076879425240428
",0.9136725088205069
149,ALL,90,50,0.93092814621424,"0.8963291336943278
",0.9136286399542839
41,ALL,150,75,0.9487771158955243,"0.875911599333619
",0.9123443576145716
11,ALL,100,60,0.9321344617208589,"0.8909542898792456
",0.9115443758000523
107,ALL,60,100,0.8936155406278443,"0.9284610578926854
",0.9110382992602648
150,ALL,90,60,0.9272179201649032,"0.8940951686797457
",0.9106565444223245
8,ALL,100,30,0.9437461322501519,"0.875689296126608
",0.9097177141883799
125,ALL,70,90,0.9039486811852578,"0.9153654727197919
",0.9096570769525248
12,ALL,100,70,0.9289624037925573,"0.8898115368596864
",0.9093869703261219
138,ALL,80,40,0.9291708117609405,"0.8892216784673297
",0.9091962451141351
151,ALL,90,70,0.9242314539648449,"0.8927009579342183
",0.9084662059495316
139,ALL,80,50,0.9232127465768544,"0.893413161182873
",0.9083129538798637
87,ALL,40,100,0.8741855020164506,"0.9418263223658122
",0.9080059121911315
97,ALL,50,100,0.8859515264841362,"0.9298006039151638
",0.90787606519965
95,ALL,40,90,0.8765929108169911,"0.93786130778855
",0.9072271093027706
147,ALL,90,30,0.9406362651246238,"0.8733361099541784
",0.9069861875394012
132,ALL,75,50,0.9206341471894727,"0.8933121615993604
",0.9069731543944166
13,ALL,100,75,0.9249642649025821,"0.8889587671803779
",0.90696151604148
105,ALL,50,90,0.8903885903662977,"0.9235172844649268
",0.9069529374156122
117,ALL,70,100,0.9062429490008129,"0.9074213869222084
",0.9068321679615107
121,ALL,70,50,0.9141812095565067,"0.8989806330695967
",0.9065809213130518
104,ALL,50,80,0.8899501896985144,"0.9225411286964965
",0.9062456591975054
