,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
31,ALL,125,250,0.9603611257106218,"0.9662334881702377
",0.9632973069404298
39,ALL,150,250,0.9642624435883429,"0.9605370881122801
",0.9623997658503115
73,ALL,250,250,0.9695895876188274,"0.9532528306003688
",0.9614212091095982
7,ALL,100,250,0.952709289526324,"0.9675655029764613
",0.9601373962513926
47,ALL,175,250,0.9656783420507089,"0.9537423791560744
",0.9597103606033917
55,ALL,200,250,0.9676499940321622,"0.9511512919155741
",0.9594006429738682
38,ALL,150,200,0.965320219538592,"0.9506624691546808
",0.9579913443466364
54,ALL,200,200,0.9686605486871203,"0.9422461532889264
",0.9554533509880233
46,ALL,175,200,0.9679099269670342,"0.9420398461325824
",0.9549748865498082
30,ALL,125,200,0.9597954715162237,"0.9494309769207369
",0.9546132242184803
