,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
39,ALL,150,250,0.9535588908396675,"0.9639083898915832
",0.9587336403656254
73,ALL,250,250,0.9610692410724075,"0.9548357778303459
",0.9579525094513768
7,ALL,100,250,0.94295637255495,"0.9713485858857358
",0.957152479220343
31,ALL,125,250,0.9483038951316977,"0.9652303435532936
",0.9567671193424956
55,ALL,200,250,0.9562052832453255,"0.9567023441694971
",0.9564538137074112
47,ALL,175,250,0.9549758396643185,"0.9577946504489767
",0.9563852450566477
38,ALL,150,200,0.9555565330721127,"0.9490436395207351
",0.9523000862964239
30,ALL,125,200,0.9504825526276257,"0.952428627715436
",0.9514555901715309
131,ALL,75,250,0.9294427569062483,"0.973001620448358
",0.9512221886773031
46,ALL,175,200,0.9589555466123116,"0.9404194204907654
",0.9496874835515385
