,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
31,ALL,125,250,0.9481292623794815,"0.9727022092314621
",0.9604157358054718
39,ALL,150,250,0.9511029058411801,"0.9695991644031476
",0.9603510351221638
47,ALL,175,250,0.9549543524091899,"0.9646302766298377
",0.9597923145195137
73,ALL,250,250,0.9576740796711828,"0.9602608811826651
",0.9589674804269239
7,ALL,100,250,0.94274452755343,"0.9746098320306623
",0.9586771797920461
55,ALL,200,250,0.9553586867124758,"0.9603447647658775
",0.9578517257391767
38,ALL,150,200,0.9552919174585557,"0.9525160621681501
",0.9539039898133529
46,ALL,175,200,0.956574516523084,"0.9511609698435526
",0.9538677431833182
131,ALL,75,250,0.9294737968816422,"0.9781394200213939
",0.953806608451518
30,ALL,125,200,0.9505290225355351,"0.9557991814067396
",0.9531641019711373
6,ALL,100,200,0.9422210885476968,"0.957522195547929
",0.9498716420478128
130,ALL,75,200,0.9298211896434242,"0.9666347380058702
",0.9482279638246471
54,ALL,200,200,0.9588017691447049,"0.9375044634004892
",0.9481531162725971
29,ALL,125,175,0.9500123413911885,"0.9394477124320274
",0.9447300269116079
4,ALL,100,175,0.9422668422895636,"0.9468323826262317
",0.9445496124578976
37,ALL,150,175,0.9545455515022051,"0.9342870907542647
",0.9444163211282349
129,ALL,75,175,0.9310437936912656,"0.9554908525605184
",0.9432673231258919
72,ALL,250,200,0.959423072739779,"0.9270688922269745
",0.9432459824833768
45,ALL,175,175,0.9595580662766028,"0.9256328311928581
",0.9425954487347304
53,ALL,200,175,0.9615610652588471,"0.9225187746200308
",0.9420399199394389
71,ALL,250,175,0.9620654211642208,"0.9190578480950171
",0.940561634629619
36,ALL,150,150,0.9584598599411168,"0.9209236910401806
",0.9396917754906486
128,ALL,75,150,0.9314072920372795,"0.9438015618870009
",0.9376044269621402
28,ALL,125,150,0.9505199498438326,"0.9210082223730784
",0.9357640861084555
3,ALL,100,150,0.9436355910018156,"0.9255576922304823
",0.934596641616149
52,ALL,200,150,0.9629174762886921,"0.9054641733707662
",0.9341908248297291
44,ALL,175,150,0.9597386302039346,"0.9052167329941337
",0.9324776815990341
2,ALL,100,125,0.945742369666096,"0.917950196147398
",0.9318462829067471
27,ALL,125,125,0.9540659980015368,"0.9049362573840681
",0.9295011276928025
127,ALL,75,125,0.9325189427200106,"0.9263835730689118
",0.9294512578944611
135,ALL,80,100,0.9385370215288049,"0.9186374585549284
",0.9285872400418667
70,ALL,250,150,0.9643909116242521,"0.8924994635828434
",0.9284451876035478
117,ALL,70,100,0.9303742290058595,"0.9236377621875923
",0.9270059955967259
126,ALL,75,100,0.9338452288770034,"0.9200942475788075
",0.9269697382279054
145,ALL,90,100,0.9445928107804729,"0.9084399353877909
",0.9265163730841319
43,ALL,175,125,0.9600548005948646,"0.8928162131751366
",0.9264355068850005
143,ALL,80,90,0.939723120018967,"0.9124472387653927
",0.9260851793921798
51,ALL,200,125,0.9636530820516555,"0.8881342785087929
",0.9258936802802242
26,ALL,125,100,0.9571005781297914,"0.8940909845398499
",0.9255957813348207
125,ALL,70,90,0.9307937534376575,"0.9203076810974338
",0.9255507172675457
35,ALL,150,125,0.9585332109057235,"0.8917811091911226
",0.9251571600484231
1,ALL,100,100,0.9494684906289084,"0.8997092413645069
",0.9245888659967076
69,ALL,250,125,0.9657496499257967,"0.8820574149126812
",0.923903532419239
107,ALL,60,100,0.9206644242711532,"0.9251509054333498
",0.9229076648522515
152,ALL,90,80,0.9462085888312904,"0.898199984616825
",0.9222042867240577
151,ALL,90,70,0.9452989844811176,"0.8977847770737358
",0.9215418807774267
13,ALL,100,75,0.9488047971665005,"0.8934267172460074
",0.9211157572062539
15,ALL,100,90,0.9487816724408874,"0.893438052865351
",0.9211098626531192
123,ALL,70,70,0.9334095117699265,"0.9087181438741412
",0.9210638278220338
