,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
31,ALL,125,250,0.9401050724946619,"0.9701641321307215
",0.9551346023126916
39,ALL,150,250,0.9452182393155858,"0.9643806433795559
",0.9547994413475709
47,ALL,175,250,0.945043855958037,"0.9629051270382746
",0.9539744914981558
7,ALL,100,250,0.9307837048174105,"0.9718758680254412
",0.9513297864214258
73,ALL,250,250,0.9503945350128468,"0.9512360678316485
",0.9508153014222476
55,ALL,200,250,0.9484109995572908,"0.951673960996032
",0.9500424802766614
131,ALL,75,250,0.9183705254141316,"0.9750979774287236
",0.9467342514214276
30,ALL,125,200,0.9437581824271102,"0.9477323000677402
",0.9457452412474252
130,ALL,75,200,0.9236438364831683,"0.9621136826056779
",0.942878759544423
6,ALL,100,200,0.9336144682153249,"0.9509525421227834
",0.9422835051690541
38,ALL,150,200,0.9478805591425571,"0.932894973332372
",0.9403877662374646
46,ALL,175,200,0.9501611824573112,"0.9285316029244106
",0.939346392690861
29,ALL,125,175,0.943068451661356,"0.9353564495490341
",0.9392124506051951
72,ALL,250,200,0.9536713105329844,"0.922084583095477
",0.9378779468142306
4,ALL,100,175,0.9381103048585089,"0.9366558127055136
",0.9373830587820112
37,ALL,150,175,0.9507691320039702,"0.9235034565399459
",0.9371362942719581
129,ALL,75,175,0.9236600369353951,"0.9505902765625747
",0.9371251567489849
45,ALL,175,175,0.9489711136415461,"0.9179387587585759
",0.933454936200061
54,ALL,200,200,0.9512622616284554,"0.9130945461764826
",0.932178403902469
53,ALL,200,175,0.9548069131381559,"0.908895191189729
",0.9318510521639425
71,ALL,250,175,0.9562896513556514,"0.9062301740140065
",0.9312599126848289
128,ALL,75,150,0.9264478991552767,"0.9346726888654336
",0.9305602940103552
3,ALL,100,150,0.9359811988560779,"0.9219202564498326
",0.9289507276529552
127,ALL,75,125,0.9289210057592657,"0.9270439488198571
",0.9279824772895614
28,ALL,125,150,0.9453802891427421,"0.9087090788144384
",0.9270446839785902
36,ALL,150,150,0.9513129698331099,"0.9018185637764622
",0.926565766804786
52,ALL,200,150,0.955998908444293,"0.8937983030479083
",0.9248986057461006
2,ALL,100,125,0.9395281218983704,"0.9047954281098266
",0.9221617750040985
27,ALL,125,125,0.9485444212919225,"0.8929231391688177
",0.9207337802303701
35,ALL,150,125,0.953329535280734,"0.8858919505627455
",0.9196107429217397
44,ALL,175,150,0.9564024358755183,"0.8794337266442883
",0.9179180812599033
70,ALL,250,150,0.9593045507958012,"0.8753958972809012
",0.9173502240383512
135,ALL,80,100,0.9323391660133564,"0.9005808231124531
",0.9164599945629048
105,ALL,50,90,0.9024852318905394,"0.9277084135717744
",0.9150968227311569
117,ALL,70,100,0.9261612165994519,"0.9035978354330565
",0.9148795260162542
145,ALL,90,100,0.9389177666358766,"0.8901921423551119
",0.9145549544954943
153,ALL,90,90,0.9397977788665122,"0.8891355344709988
",0.9144666566687555
107,ALL,60,100,0.9144086162120446,"0.9121126322227319
",0.9132606242173882
12,ALL,100,70,0.9477661923000712,"0.8785034759919438
",0.9131348341460075
97,ALL,50,100,0.8977469844560807,"0.9283140568537659
",0.9130305206549233
115,ALL,60,90,0.9150469373618599,"0.9103489218018019
",0.9126979295818309
1,ALL,100,100,0.9445081771696268,"0.8808753194925312
",0.912691748331079
152,ALL,90,80,0.9411019949512851,"0.884136954433744
",0.9126194746925145
51,ALL,200,125,0.9595499850656475,"0.8650781757571488
",0.9123140804113982
142,ALL,80,80,0.9362594034729939,"0.8883465798359412
",0.9123029916544676
143,ALL,80,90,0.9336475592093261,"0.8907408315155555
",0.9121941953624408
43,ALL,175,125,0.9568528307391407,"0.8672645293317685
",0.9120586800354546
124,ALL,70,80,0.927505029823412,"0.8965411264009416
",0.9120230781121768
15,ALL,100,90,0.9434192990935523,"0.8783344809753835
",0.9108768900344679
141,ALL,80,70,0.9364864145555762,"0.884896653946314
",0.9106915342509452
125,ALL,70,90,0.9263504995298983,"0.8947123700160102
",0.9105314347729543
126,ALL,75,100,0.9271308946224559,"0.8932745118644323
",0.9102027032434441
13,ALL,100,75,0.9455866900249497,"0.874028998363153
",0.9098078441940514
122,ALL,70,60,0.9302605233775,"0.8873768036453923
",0.9088186635114461
114,ALL,60,80,0.9163998419347978,"0.9004768740599716
",0.9084383579973847
14,ALL,100,80,0.9445053645488564,"0.8703683733461326
",0.9074368689474945
123,ALL,70,70,0.9276877377738663,"0.8865570377641807
",0.9071223877690235
140,ALL,80,60,0.9369571085610542,"0.8772442608228216
",0.9071006846919378
95,ALL,40,90,0.8829459274841162,"0.9308427576073247
",0.9068943425457204
133,ALL,75,75,0.9334259285256303,"0.8801822220675979
",0.9068040752966141
150,ALL,90,60,0.944236137142138,"0.8683603515292574
",0.9062982443356977
33,ALL,125,75,0.9540825648264661,"0.8575957113244608
",0.9058391380754635
104,ALL,50,80,0.9016212981269094,"0.9091510179002563
",0.9053861580135829
149,ALL,90,50,0.944813561738303,"0.8659530284118307
",0.9053832950750669
151,ALL,90,70,0.9410625929946521,"0.8697029749201425
",0.9053827839573974
26,ALL,125,100,0.9505084984271015,"0.8595088096053065
",0.905008654016204
87,ALL,40,100,0.8769988621683847,"0.9327521211917096
",0.9048754916800472
34,ALL,150,100,0.9567983680137262,"0.8528433100312499
",0.9048208390224881
113,ALL,60,70,0.9186969593371896,"0.8905027446138445
",0.9045998519755171
139,ALL,80,50,0.9391082101639456,"0.8699006026097867
",0.9045044063868661
42,ALL,175,100,0.9595550509189246,"0.848817618431625
",0.9041863346752748
112,ALL,60,60,0.9189071121241028,"0.889314799902931
",0.904110956013517
69,ALL,250,125,0.9615380905918817,"0.8466325097556835
",0.9040853001737825
9,ALL,100,40,0.9506727544326379,"0.8565145166884056
",0.9035936355605217
103,ALL,50,70,0.9031334869574815,"0.9033205342181501
",0.9032270105878157
11,ALL,100,60,0.9480248932916197,"0.8574320071280165
",0.9027284502098181
121,ALL,70,50,0.9298792694951447,"0.8752116522540158
",0.9025454608745802
41,ALL,150,75,0.9588596417585328,"0.8456179172073609
",0.9022387794829468
111,ALL,60,50,0.921650278244372,"0.8826508564524069
",0.9021505673483894
49,ALL,175,75,0.962361431297357,"0.8397591120768607
",0.9010602716871088
138,ALL,80,40,0.9410318894221587,"0.8605921828143149
",0.9008120361182368
132,ALL,75,50,0.9336936738185313,"0.8674052028999887
",0.90054943835926
94,ALL,40,80,0.8813869147881614,"0.9184725091333831
",0.8999297119607723
50,ALL,200,100,0.962896208269914,"0.8364560842493636
",0.8996761462596388
102,ALL,50,60,0.9062257177871871,"0.8929903637059488
",0.8996080407465679
68,ALL,250,100,0.9640186530774859,"0.8341576897798647
",0.8990881714286754
57,ALL,200,75,0.9653866210263052,"0.8324584028734724
",0.8989225119498888
148,ALL,90,40,0.9451971132918854,"0.8522775035119343
",0.8987373084019099
56,ALL,200,50,0.9678373556149733,"0.8267001233236538
",0.8972687394693135
