,0,1,2,3,4,5,6,7,8,9
8086,7,59,61,3,48,68,67,35,43,60
51166,12,66,3,10,11,16,68,1,17,16
195827,22,3,26,44,38,55,3,52,51,27
79719,29,14,1,24,12,32,7,40,49,4
22848,1,68,6,68,17,41,45,16,64,24
28971,1,14,10,35,3,44,7,15,66,32
14,35,23,32,11,11,17,9,55,4,40
16,59,1,26,33,22,38,31,20,67,31
132949,3,50,25,54,10,29,35,45,49,57
60496,18,20,32,23,10,54,43,64,16,51
10157,44,60,1,42,38,60,56,52,7,4
26574,60,24,10,62,22,44,7,15,50,64
18,20,1,69,49,60,55,24,52,24,30
23461,20,25,69,18,7,35,10,3,1,30
10351,12,40,27,27,16,50,46,10,10,16
22,40,8,38,19,4,41,31,21,22,11
10057,41,32,57,47,45,34,19,32,6,36
5825,1,17,33,39,23,32,56,7,32,2
5826,27,5,33,48,23,55,56,52,32,37
6059,18,20,11,62,55,38,56,42,32,39
23,46,30,13,19,18,17,66,42,49,37
10061,43,63,34,38,56,64,55,22,65,18
25864,7,8,67,3,1,29,23,45,12,20
11057,14,13,55,10,41,5,17,11,55,44
10006,23,50,37,61,10,29,14,67,66,51
10152,14,61,27,21,15,16,46,62,4,41
25,69,40,54,66,65,26,62,62,14,34
3983,48,44,26,33,38,38,28,51,51,66
29,55,61,53,21,25,28,33,65,8,42
29777,1,5,8,35,23,11,49,51,42,9
30,30,31,39,47,26,69,51,27,28,45
10449,7,59,13,3,48,67,67,35,43,60
80724,9,51,67,19,18,54,43,53,15,46
34,42,14,20,32,33,14,63,58,52,15
36,18,66,42,16,4,66,14,45,10,16
37,67,60,25,44,4,38,3,67,7,11
23527,59,44,22,44,23,3,28,20,32,56
38,28,7,36,9,1,66,22,12,63,51
39,2,46,22,9,47,66,59,12,0,26
64746,45,33,40,56,14,52,1,60,69,5
91452,45,54,40,56,14,52,1,60,42,5
84320,24,57,31,6,5,15,38,48,39,21
65057,7,59,13,3,48,67,46,22,43,60
55331,64,63,58,38,56,64,55,0,65,18
22985,0,56,30,30,41,21,30,63,25,61
47,45,54,40,56,14,52,1,60,69,5
48,26,62,6,68,47,41,28,52,50,24
50,9,30,62,13,42,10,2,41,58,38
55856,6,4,24,8,44,63,27,11,56,61
10965,51,67,27,51,65,27,11,37,38,7
11332,10,21,51,5,52,61,6,62,41,33
10005,0,41,47,57,53,37,30,31,9,69
