,0,1,2,3,4,5,6,7,8,9
8086,45,25,85,92,14,42,77,90,57,0
51166,36,50,77,1,20,4,3,37,71,46
195827,45,93,67,39,53,94,88,32,57,21
79719,82,94,26,82,59,85,83,79,56,73
22848,28,48,78,85,10,7,39,43,92,12
28971,74,10,37,17,72,40,38,10,68,22
14,51,42,11,41,36,76,70,80,27,9
16,37,28,68,27,95,46,24,74,7,31
132949,67,91,67,50,42,50,20,45,77,26
60496,39,6,70,32,38,63,96,57,78,37
10157,27,78,63,69,16,94,70,6,42,80
26574,41,5,91,75,37,5,38,18,49,47
18,57,60,45,62,29,33,63,73,7,31
23461,0,0,78,72,0,58,27,6,81,54
22,19,93,46,50,27,71,97,90,26,61
10057,64,99,38,6,26,39,7,51,19,75
5825,28,87,70,39,38,61,7,36,18,39
5826,44,17,49,59,3,22,92,16,80,74
6059,45,25,46,78,14,72,94,76,84,90
23,19,1,59,49,55,9,77,41,18,21
10061,45,30,8,0,84,25,0,64,28,64
25864,96,69,80,29,69,56,13,39,13,27
11057,52,61,11,9,52,2,18,63,25,78
10006,82,94,26,71,59,85,83,79,56,73
10152,38,42,17,41,53,73,65,4,95,15
25,6,73,64,51,55,50,96,11,48,77
3983,81,87,90,18,36,39,57,89,18,38
29,1,74,39,69,19,83,33,3,24,44
29777,56,68,40,54,52,8,42,22,3,28
30,96,69,80,93,0,56,50,59,31,44
10449,73,91,76,50,2,45,56,53,17,38
80724,53,4,52,91,56,38,43,98,83,69
34,83,79,30,44,70,79,12,47,79,84
36,68,55,72,61,71,66,22,66,2,87
37,3,35,29,0,80,90,10,64,5,38
23527,43,33,91,0,58,59,77,53,6,22
38,39,42,88,25,36,73,87,84,17,86
39,41,5,91,75,72,40,90,10,94,22
64746,53,4,57,99,20,69,41,41,99,11
91452,19,25,59,10,54,63,88,13,26,41
84320,18,48,22,43,84,73,39,84,44,20
65057,31,33,5,77,63,47,6,31,84,32
55331,34,62,16,26,42,9,26,24,57,91
22985,48,91,28,86,36,67,20,93,48,5
47,50,89,78,85,41,0,44,14,76,54
48,30,35,28,30,91,67,20,93,48,81
50,72,6,1,68,87,47,16,94,6,93
55856,6,61,94,77,53,59,81,41,44,44
10965,30,12,24,26,2,18,20,93,48,81
11332,85,21,84,87,60,20,19,9,38,76
10005,55,42,76,10,36,67,87,38,25,21
23597,33,26,64,78,74,65,61,4,9,38
51,14,43,0,42,99,20,86,20,12,18
52,1,63,52,60,9,38,43,68,71,51
53,72,27,76,33,48,94,8,78,5,78
2181,4,20,50,53,79,64,73,58,73,8
2182,48,93,94,33,14,50,88,31,17,92
79611,72,27,78,77,48,9,74,0,44,35
60,86,18,13,59,3,17,52,67,60,89
71,84,62,99,21,41,30,39,94,28,12
86,97,91,44,83,42,16,56,34,84,77
87,93,95,30,23,11,53,12,12,88,17
81,56,20,3,80,34,4,45,88,69,83
55860,39,86,59,26,93,59,20,93,77,81
10121,34,91,94,68,89,19,65,84,25,95
10120,87,60,13,89,15,17,76,62,32,48
10097,64,70,93,4,47,29,59,41,82,82
10096,97,63,57,74,5,29,98,34,82,38
64431,62,81,54,42,57,20,86,20,34,18
93973,10,70,6,56,9,38,69,63,82,69
91,45,26,16,49,13,72,0,80,27,4
92,44,67,10,73,7,74,60,85,50,70
93,71,20,80,29,69,23,5,39,80,8
97,96,69,80,93,0,56,50,6,13,27
98,74,33,8,9,37,97,55,34,89,4
161823,42,31,95,77,90,25,69,36,81,49
102,49,70,12,37,40,76,84,61,71,72
6868,79,96,3,54,49,77,45,52,83,62
8754,28,33,2,50,74,25,46,45,27,82
9510,67,25,19,48,58,97,26,57,58,61
103,41,5,37,5,27,31,14,10,49,22
23536,42,78,94,7,23,0,91,46,85,78
118,60,78,81,9,98,30,33,46,42,10
120,24,24,79,1,52,91,15,37,51,8
166647,6,25,24,25,90,29,48,13,49,52
57211,24,90,20,99,62,55,42,37,55,63
22859,31,84,95,1,9,80,93,98,51,69
23266,67,27,94,25,66,25,8,84,5,41
23284,70,81,36,73,99,20,72,20,12,18
84059,83,98,58,44,11,89,25,28,37,71
128,35,39,74,79,61,46,66,60,73,89
55256,51,93,96,10,89,18,56,65,9,2
51094,67,56,88,86,84,67,74,80,21,29
79602,95,72,82,15,73,77,36,86,69,14
132,18,23,70,31,28,6,59,84,64,91
23394,74,10,63,5,77,90,38,50,49,80
22850,79,32,9,24,4,62,45,87,71,3
84890,6,35,29,43,90,65,87,57,57,0
83440,89,84,1,21,40,82,69,48,43,88
11047,47,40,70,31,28,96,39,19,5,39
158,15,55,27,47,31,70,75,75,59,55
159,36,31,11,56,27,24,69,54,94,10
121536,53,32,79,96,18,77,5,58,3,56
166,12,84,77,1,98,30,14,6,51,51
60312,32,50,20,35,20,92,41,97,71,28
4301,98,57,51,58,24,27,73,49,47,8
3899,53,20,79,91,25,4,4,6,51,8
27125,60,89,76,26,13,58,77,64,28,4
172,6,73,61,0,55,50,0,65,64,78
10939,81,99,38,32,26,61,49,51,18,75
54812,82,94,15,82,59,85,75,79,56,55
175,71,14,75,29,81,23,13,39,80,50
116987,43,61,76,0,14,6,29,94,6,38
60509,46,24,91,75,62,5,37,30,54,47
3267,34,61,67,68,89,96,65,23,57,95
55109,3,47,99,70,10,58,11,78,27,67
178,67,42,59,50,42,63,55,13,57,77
26523,6,66,55,48,21,45,11,3,58,67
27161,81,61,39,92,28,60,3,41,99,82
192669,73,29,67,26,35,26,56,93,52,81
192670,1,27,39,69,12,60,69,94,58,92
10554,39,73,76,51,80,59,29,3,57,61
56895,47,66,91,56,12,48,2,44,1,10
55326,38,74,85,41,27,42,10,4,9,15
8540,12,30,96,21,9,24,57,46,42,80
23287,31,3,6,9,65,76,74,21,67,61
57085,44,19,83,81,46,87,53,33,20,30
25909,72,33,63,49,72,30,33,64,63,80
191,1,64,1,66,87,60,97,32,58,86
10768,37,60,7,62,8,34,68,35,88,31
54806,19,66,81,65,55,45,74,57,89,49
10598,84,30,63,17,13,30,0,10,42,57
130872,22,71,25,94,15,46,99,60,73,98
9131,67,1,24,0,27,65,26,94,89,67
51390,18,89,99,84,41,99,44,27,76,54
9255,56,50,75,80,20,4,6,1,71,11
7965,89,84,11,91,47,4,47,37,94,51
9049,10,43,0,18,99,86,57,54,34,19
84962,42,66,35,35,16,2,37,6,51,99
204,41,10,37,75,72,31,93,10,49,47
50808,97,78,39,76,21,83,38,18,54,44
205,34,12,85,25,38,71,28,24,64,6
102157402,30,12,28,26,2,18,20,93,48,5
221264,29,30,63,5,77,82,34,10,68,4
11216,48,26,8,51,28,11,11,3,5,10
11215,3,48,88,85,54,0,11,71,91,12
9590,6,25,1,31,72,60,94,61,54,49
11214,80,84,52,1,17,86,47,78,51,32
8227,24,90,65,63,62,91,64,86,55,63
10270,49,41,62,74,30,29,79,15,82,72
26993,50,62,17,85,10,0,31,80,25,65
10142,38,40,88,41,89,73,10,53,26,15
56672,74,10,37,75,77,40,14,97,68,22
79647,52,84,52,54,40,91,64,54,3,11
55122,29,88,46,31,12,90,69,84,92,41
10327,46,43,0,18,63,96,57,30,99,19
231,82,55,15,61,31,70,83,75,59,55
8574,76,0,40,56,25,24,41,49,81,69
207,72,65,63,65,42,30,0,38,42,78
208,18,33,63,67,87,60,33,84,89,38
10000,38,42,85,65,74,73,61,0,10,15
64400,60,35,90,19,35,42,88,11,78,35
210,97,1,8,31,89,49,29,65,21,77
211,64,3,5,32,26,49,47,22,67,75
214,76,57,35,56,78,48,41,21,81,99
5832,49,70,41,80,20,15,41,1,55,69
217,58,41,62,74,5,29,48,15,82,57
224,55,1,67,30,35,90,28,57,85,93
7915,89,4,50,35,47,15,43,22,69,79
4329,23,20,33,96,73,28,53,2,20,79
501,65,84,52,1,52,80,43,6,69,43
223,12,31,5,69,9,24,33,78,94,77
226,66,37,21,64,83,36,30,5,41,33
79868,80,62,94,17,77,30,81,10,14,67
85365,67,35,85,77,77,59,28,53,6,41
10195,51,3,90,76,54,63,7,54,18,15
29880,66,82,21,45,83,36,30,5,62,36
79053,18,73,16,0,91,57,46,93,48,6
54890,12,23,76,35,66,86,47,80,44,41
84266,64,99,38,6,94,39,49,51,19,75
7840,5,6,47,25,94,61,10,51,78,39
57679,60,30,57,98,50,25,91,14,84,0
10189,23,20,3,8,49,4,53,98,55,28
262,1,27,39,4,48,3,48,34,89,44
267,57,28,92,22,8,78,68,12,88,31
9949,3,76,1,10,58,25,98,46,6,10
83607,30,73,28,86,35,19,87,24,52,2
196394,18,73,8,25,35,18,61,24,77,91
154810,47,61,5,31,55,65,97,21,43,88
51421,27,76,91,75,72,83,38,10,45,22
51321,79,68,79,80,52,68,42,88,30,63
201283,71,2,36,29,81,17,40,25,16,42
10393,41,5,37,56,9,68,14,1,98,47
51529,10,32,40,24,52,28,42,88,71,43
25847,48,26,34,50,84,47,31,24,89,95
25906,48,12,88,78,35,26,87,38,89,35
119504,38,42,85,41,80,63,96,89,95,9
29945,81,56,29,33,56,26,16,89,18,37
51433,8,13,31,13,1,36,78,83,41,33
51434,34,74,59,30,55,67,28,43,9,6
90806,82,94,26,82,59,85,83,79,56,73
284,72,61,96,26,14,9,56,3,52,95
287,66,82,31,45,83,36,78,83,15,36
288,53,20,80,35,25,4,41,6,51,8
63926,46,31,6,77,55,82,8,59,25,67
51479,81,87,47,32,26,49,71,51,19,39
54467,67,42,90,43,36,63,87,0,17,86
23141,53,84,12,91,98,38,43,68,67,28
57037,80,4,87,35,16,24,6,37,71,88
57763,76,50,12,58,79,27,41,49,47,8
55608,3,78,56,41,50,99,81,14,5,91
29123,47,80,56,85,68,49,29,27,91,95
23253,18,46,56,72,13,9,31,94,58,35
88455,18,66,28,46,91,25,20,94,9,67
81573,89,50,12,35,9,5,41,22,83,99
26057,0,0,95,72,0,81,50,6,81,64
22852,38,86,17,41,55,63,10,32,9,15
23243,88,44,73,63,88,75,23,87,93,14
147463,30,73,28,86,2,18,20,93,48,81
375248,46,23,81,50,53,82,8,45,6,20
57730,39,35,8,76,35,9,29,36,84,41
84832,46,33,16,7,14,97,18,23,43,67
400986,49,70,41,74,30,95,79,95,98,72
51239,87,28,74,22,51,34,63,60,37,24
157567,80,31,79,91,16,76,93,6,71,64
54851,34,12,17,86,93,67,28,4,64,35
57182,41,5,37,17,37,40,14,10,68,47
129138,58,41,62,74,5,29,48,15,82,57
22881,43,10,63,17,54,65,55,31,92,80
23294,58,41,62,74,5,29,88,15,82,52
124401,81,3,93,33,47,24,47,41,67,75
55139,60,64,16,76,87,97,77,90,9,49
54443,42,61,8,0,16,81,54,45,84,26
55129,27,82,55,13,1,12,34,70,41,66
121601,84,66,55,19,21,81,59,21,10,66
203859,46,40,8,51,84,59,98,76,6,78
196527,6,40,29,66,42,63,8,46,43,82
8125,38,35,59,49,89,26,77,11,95,38
10541,39,48,22,67,84,9,91,94,17,65
23520,0,78,78,85,10,58,11,43,91,54
