,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
73,ALL,250,250,0.9644851286053141,"0.973092521391126
",0.96878882499822
55,ALL,200,250,0.9615046245087138,"0.9719548573372245
",0.9667297409229691
47,ALL,175,250,0.960492992026681,"0.9716955312212392
",0.9660942616239601
39,ALL,150,250,0.957758333696374,"0.97335989159647
",0.965559112646422
31,ALL,125,250,0.9538020115142153,"0.9737084687981876
",0.9637552401562015
7,ALL,100,250,0.9476412673050156,"0.9789620251953787
",0.9633016462501971
46,ALL,175,200,0.9630162997074002,"0.9549776154065117
",0.9589969575569559
38,ALL,150,200,0.9583866889604253,"0.9585572351317956
",0.9584719620461104
131,ALL,75,250,0.9359541458328731,"0.9794848909979799
",0.9577195184154265
30,ALL,125,200,0.9543753115579171,"0.9585449774719649
",0.956460144514941
