,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
55,ALL,200,250,0.9638723471029235,"0.9786622662537162
",0.9712673066783198
47,ALL,175,250,0.9617497062320894,"0.9806724996767417
",0.9712111029544156
39,ALL,150,250,0.9590491081361638,"0.982321176782077
",0.9706851424591204
73,ALL,250,250,0.9640159412667619,"0.9770500403302756
",0.9705329907985187
31,ALL,125,250,0.9544880266980491,"0.9802877919327376
",0.9673879093153934
7,ALL,100,250,0.9472628062043851,"0.9823911236446594
",0.9648269649245222
54,ALL,200,200,0.9644844517667582,"0.9593569321897096
",0.9619206919782339
46,ALL,175,200,0.9617601244458354,"0.9599288216786025
",0.960844473062219
30,ALL,125,200,0.9543765266756484,"0.9671993547155913
",0.9607879406956199
38,ALL,150,200,0.9609776230308229,"0.9602475232283962
",0.9606125731296096
72,ALL,250,200,0.9656301737111275,"0.9546414299700078
",0.9601358018405677
131,ALL,75,250,0.9364813204642333,"0.983789075728609
",0.9601351980964211
6,ALL,100,200,0.9486072259245897,"0.9681106342629243
",0.9583589300937569
130,ALL,75,200,0.9355429176371263,"0.9735054091830477
",0.954524163410087
45,ALL,175,175,0.9629690384288555,"0.9458739355577613
",0.9544214869933084
37,ALL,150,175,0.9616290738942834,"0.9469655006803851
",0.9542972872873343
71,ALL,250,175,0.9672969856228141,"0.9406466390409189
",0.9539718123318666
53,ALL,200,175,0.965984427439671,"0.9415086602343397
",0.9537465438370053
4,ALL,100,175,0.9485351862123275,"0.957047700558513
",0.9527914433854202
29,ALL,125,175,0.9554488747306076,"0.9467487639231971
",0.9510988193269023
44,ALL,175,150,0.9644708711611903,"0.9366576975413937
",0.950564284351292
36,ALL,150,150,0.9617146321453693,"0.9380108245232917
",0.9498627283343305
129,ALL,75,175,0.9368933837737596,"0.9593273771774342
",0.9481103804755969
28,ALL,125,150,0.9567569062530924,"0.9381418517446732
",0.9474493789988828
52,ALL,200,150,0.9658526270435899,"0.9282714627883859
",0.9470620449159879
3,ALL,100,150,0.9491403222018304,"0.9448473914623471
",0.9469938568320888
70,ALL,250,150,0.9683630515270641,"0.9240303185168286
",0.9461966850219463
128,ALL,75,150,0.9362410426235336,"0.9530503851388334
",0.9446457138811835
51,ALL,200,125,0.967464621235835,"0.911479782524379
",0.9394722018801069
2,ALL,100,125,0.9493647159804942,"0.9290453115283759
",0.939205013754435
