	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
0	1.9544015621579213e-05	2.2893610669373443e-05	1.0979634694592308e-05	2.633829294394779e-05	1.5516505598754848e-05	2.0652602327403894e-05	2.2610057394587477e-05	1.432409371852216e-05	2.6149523747909202e-05	2.6546225153324187e-05	1.8644637795028555e-05	2.776086624338482e-05	2.3853553134637692e-05	2.482307740928279e-05	1.539083526871912e-05	1.7803701874279643e-06	1.902284671240257e-05	1.5354321238645062e-05	9.02340230464323e-06	1.1746483440895127e-05	1.728689456185214e-05	2.3546390317130523e-05	3.1849495835318755e-06	1.550549485048849e-05	1.58250380724148e-05	9.715219391756345e-06	2.1640831373652214e-06	1.6807054718779617e-05	-2.0114608876151054e-06	2.7777274708640884e-05	1.6674440918753524e-05	3.393655989217707e-05	1.9182614466435213e-05	1.2553424921175999e-05	-1.8963818870506638e-06	1.9488907472809364e-05	2.006863802290174e-05	2.1020301681712196e-05	-2.177592526596884e-06	7.742479235887127e-06	1.169346864898496e-05	1.8773277758495113e-05	1.567006159415837e-05	2.1187173118589792e-05	2.3537440325543546e-05	1.4900438123033956e-05	-4.439450618407619e-06	2.5302507934337718e-06	-9.058086958940242e-07	1.8092179285176632e-05	2.6098597830951464e-05	1.1389484849467555e-05	1.4306196017186659e-05	4.892813848921406e-06	1.2485997596443356e-05	7.212966248151137e-06	-8.170314846523281e-06	1.1010447261716324e-05	8.943611948295752e-06	9.474464946737447e-06	-1.3452605861689782e-06	4.639841122777754e-07	2.5582259350667912e-05	1.8127609445961194e-06	1.5171042305556488e-05	-8.416544814048705e-06	3.2720361212713955e-06	1.6642706070538677e-05	3.1162492936058826e-06	-1.4942374150336623e-07	1.5612155130374047e-05	-5.082874508783634e-06	-7.888622340658628e-06	-4.276571473471195e-06	6.42934960586311e-06	-1.1932027024501486e-05	-2.1926126418362972e-06	-3.0177909081664443e-06	-2.704541544343056e-06	1.543967757840446e-05	2.47923000711215e-07	1.0977713592115114e-06	5.419727713114021e-06	4.6190188216006824e-06	1.1741143274460596e-05	1.1087018096278329e-05	1.0071909696975567e-05	1.6791362583445736e-05	1.1398022777342829e-05	-2.3246889014037525e-06	2.4621169766933042e-05	2.021036914245134e-05	-2.2558058927644946e-05	2.3844733999851622e-05	1.5753471028024506e-06	8.886618320314247e-06	-3.078841779513365e-05	-1.011573586726286e-05	1.7130166830358956e-05	-0.0002079613526537284
1	2.289361066936828e-05	2.681728359355359e-05	1.2861404066436878e-05	3.0852340482615086e-05	1.8175836788359217e-05	2.4192194999620514e-05	2.648513290340541e-05	1.6779060717763208e-05	3.063121865360339e-05	3.109590962107962e-05	2.1840090952418232e-05	3.251872470459614e-05	2.794174795595865e-05	2.907743632768303e-05	1.802862816633211e-05	2.085502933865982e-06	2.2283120055223677e-05	1.79858560971386e-05	1.0569898391172615e-05	1.3759680908825688e-05	2.024964784332712e-05	2.758194134854114e-05	3.7308093269449424e-06	1.8162938938251585e-05	1.8537247793527944e-05	1.1380284104807484e-05	2.5349793902273376e-06	1.9687569570179188e-05	-2.356199633143827e-06	3.2537945371552576e-05	1.9532227455950086e-05	3.975285349093588e-05	2.2470269964902646e-05	1.4704921868524715e-05	-2.22139755939633e-06	2.282905768665099e-05	2.350814666017286e-05	2.4622913334271158e-05	-2.550804116498492e-06	9.069441443055154e-06	1.3697580057638848e-05	2.1990778165176754e-05	1.83557103231938e-05	2.4818384407446896e-05	2.7571457442528468e-05	1.745418320353288e-05	-5.200315841514759e-06	2.9639035130924795e-06	-1.0610527552909515e-06	2.1192948099054743e-05	3.057156468389802e-05	1.3341497311354982e-05	1.675809557865437e-05	5.73137974834718e-06	1.4625938360181529e-05	8.449176681691733e-06	-9.57060262149696e-06	1.289749751463705e-05	1.0476432985252018e-05	1.1098267418067976e-05	-1.5758210955681893e-06	5.43505072290847e-07	2.9966732372560076e-05	2.1234450537584296e-06	1.777116549213344e-05	-9.859033265475462e-06	3.832821386705608e-06	1.9495053659441256e-05	3.650334683407422e-06	-1.7503306531137434e-07	1.8287879429953284e-05	-5.954014381612857e-06	-9.240631612334245e-06	-5.009521288208275e-06	7.53125813977389e-06	-1.3977024296568042e-05	-2.5683984879500033e-06	-3.535001786267472e-06	-3.168065476112169e-06	1.8085841425049228e-05	2.9041384146240484e-07	1.285915371149343e-06	6.348599929536503e-06	5.410659744840387e-06	1.3753425505963296e-05	1.2987191613794218e-05	1.1798106579745054e-05	1.9669188002958766e-05	1.3351498531190484e-05	-2.723110934140698e-06	2.8840924290206867e-05	2.3674168686225636e-05	-2.642422256232528e-05	2.793141733393385e-05	1.8453415070368453e-06	1.0409671376230255e-05	-3.606515998428603e-05	-1.1849443996738245e-05	2.006605897728378e-05	-0.0002436032765279254
2	1.0979634694596875e-05	1.2861404066445123e-05	6.168250187726998e-06	1.479659250192814e-05	8.717019394053747e-06	1.1602427742500611e-05	1.2702106640885927e-05	8.047134192161233e-06	1.4690543834436893e-05	1.4913406760798895e-05	1.0474373126086708e-05	1.559578011293582e-05	1.3400690250027319e-05	1.3945359399359858e-05	8.64641904546325e-06	1.000194364229153e-06	1.0686847155549743e-05	8.625905824475125e-06	5.069258177320307e-06	6.5990582296075005e-06	9.711606405163785e-06	1.32281292168552e-05	1.7892731782959356e-06	8.710833664569101e-06	8.890349886507237e-06	5.457914175097719e-06	1.2157605047537985e-06	9.442037126727906e-06	-1.1300188342102273e-06	1.560499822644422e-05	9.367536005364629e-06	1.9065223729968757e-05	1.077660309973338e-05	7.052389972937612e-06	-1.0653685897731665e-06	1.094867548161302e-05	1.127436237137809e-05	1.1808997603368255e-05	-1.2233499460223048e-06	4.34964826505154e-06	6.569275043805034e-06	1.0546641785370284e-05	8.803285633671087e-06	1.1902744326321903e-05	1.3223101200093065e-05	8.370918778826585e-06	-2.4940394532328596e-06	1.4214698726981447e-06	-5.088743673088595e-07	1.016400739882039e-05	1.466193415792467e-05	6.398499951500494e-06	8.037079440551228e-06	2.7487344325751612e-06	7.014509968729005e-06	4.052173105188972e-06	-4.590002080003374e-06	6.1855603832147056e-06	5.02443274421537e-06	5.322660708840282e-06	-7.557540932819386e-07	2.606616856815202e-07	1.4371860306058888e-05	1.0183911712760653e-06	8.522941532412955e-06	-4.728331640654488e-06	1.838197533950943e-06	9.349707681481037e-06	1.7506780348307705e-06	-8.39447802423661e-08	8.770754354986167e-06	-2.8555086316705156e-06	-4.431750016021976e-06	-2.402535560409745e-06	3.6119450251709976e-06	-6.7032947799341855e-06	-1.231788098221562e-06	-1.6953650876004566e-06	-1.5193846929011128e-06	8.6738581720158e-06	1.392806899515498e-07	6.167170931354161e-07	3.044749430535227e-06	2.5949190939372013e-06	6.59605817691645e-06	6.228577120820207e-06	5.658299261061682e-06	9.433221440285538e-06	6.403296474944536e-06	-1.305987234671199e-06	1.3831929682664377e-05	1.1353985512683416e-05	-1.2672894416399278e-05	1.3395735747321806e-05	8.850144228734949e-07	4.992414287656951e-06	-1.7296628633572397e-05	-5.682920370107785e-06	9.623558315578344e-06	-0.00011683063127574772
3	2.6338292943945642e-05	3.085234048261954e-05	1.4796592501920772e-05	3.549453135082481e-05	2.0910660216375505e-05	2.7832268490073185e-05	3.0470212809313667e-05	1.930371853051578e-05	3.5240138472701656e-05	3.577474906805744e-05	2.512625560619273e-05	3.7411647721394964e-05	3.214599713686143e-05	3.3452566618604735e-05	2.0741301880251963e-05	2.399297690561102e-06	2.5635944989003614e-05	2.0692094120737443e-05	1.2160295911161574e-05	1.583002837891221e-05	2.329650681195949e-05	3.173205230455898e-05	4.292164761173166e-06	2.0895821693986533e-05	2.132645085179662e-05	1.3092616139349172e-05	2.9164045266134787e-06	2.264985555063597e-05	-2.7107247112921994e-06	3.7433760421929084e-05	2.247113991813101e-05	4.573425816151142e-05	2.585125437015567e-05	1.691749481916579e-05	-2.5556396721042393e-06	2.6264027010372818e-05	2.7045294962288938e-05	2.8327794767609487e-05	-2.9346103169672527e-06	1.0434073026530561e-05	1.5758583536320563e-05	2.5299615938464437e-05	2.1117598384485223e-05	2.8552677354359268e-05	3.17199909398513e-05	2.00804231779412e-05	-5.982780261836099e-06	3.4098666266684395e-06	-1.220703833110345e-06	2.4381740540630146e-05	3.517150868109473e-05	1.534892287512754e-05	1.927959887619676e-05	6.593750586793344e-06	1.6826627073988883e-05	9.720480259381119e-06	-1.1010641315411015e-05	1.4838116743150455e-05	1.205276725275929e-05	1.2768165871643496e-05	-1.8129266825462963e-06	6.25283447738115e-07	3.447567040429123e-05	2.442948763477211e-06	2.0445100139377176e-05	-1.1342470615071533e-05	4.4095260438731745e-06	2.2428372774213484e-05	4.199581517461118e-06	-2.0136937836616737e-07	2.1039561330277412e-05	-6.849883892941735e-06	-1.0631021288327865e-05	-5.763277846526003e-06	8.664447298706221e-06	-1.608007429340165e-05	-2.954852021788174e-06	-4.066895080410352e-06	-3.6447477761595638e-06	2.080712371980938e-05	3.341108985332662e-07	1.479400354779796e-06	7.303840671658412e-06	6.224773515970369e-06	1.582283175818464e-05	1.4941306645916887e-05	1.3573306184375338e-05	2.2628708204801644e-05	1.5360428926384738e-05	-3.1328432433868338e-06	3.318046784756418e-05	2.7236297457285313e-05	-3.0400137606679466e-05	3.2134112119984366e-05	2.1230004255724367e-06	1.1975960372393437e-05	-4.1491696633390974e-05	-1.3632368074929872e-05	2.308529428611857e-05	-0.00028025699187250746
4	1.5516505598754868e-05	1.817583678836335e-05	8.717019394050129e-06	2.091066021637722e-05	1.2318959964929488e-05	1.63966416035911e-05	1.795071642103699e-05	1.1372272959868798e-05	2.0760791410297733e-05	2.107574304036902e-05	1.4802465999561096e-05	2.204007839699832e-05	1.8937960239610934e-05	1.9707690940145677e-05	1.2219187000286342e-05	1.4134824959196425e-06	1.510273595930535e-05	1.2190197555995717e-05	7.1639152920663135e-06	9.32584068726829e-06	1.3724518105578054e-05	1.8694095638299605e-05	2.5286148456645124e-06	1.2310218243656375e-05	1.256391197211356e-05	7.713166986976576e-06	1.718122251192982e-06	1.334356069356495e-05	-1.59695145197772e-06	2.2053105507083668e-05	1.3238275126339689e-05	2.6943123243722434e-05	1.5229579761415858e-05	9.966492651484964e-06	-1.5055872210473256e-06	1.5472753796899974e-05	1.5933017056019843e-05	1.668856774611239e-05	-1.7288477089345017e-06	6.1469569375108e-06	9.28375085622136e-06	1.4904596633920002e-05	1.2440872089261323e-05	1.682105134798408e-05	1.8686990005697938e-05	1.182984786937431e-05	-3.524596055882165e-06	2.008832338387002e-06	-7.191452347040642e-07	1.4363854727078661e-05	2.072035999175529e-05	9.042410160508108e-06	1.1358063506276727e-05	3.884532992115973e-06	9.912960333358479e-06	5.7265627156730345e-06	-6.486626828096283e-06	8.741482297659555e-06	7.1005676395181236e-06	7.522025730932127e-06	-1.0680375937700246e-06	3.6836913228529614e-07	2.0310425356248427e-05	1.4391983659168319e-06	1.2044687613388886e-05	-6.682115244789467e-06	2.59775512760941e-06	1.3213079999630032e-05	2.4740718871490803e-06	-1.1863141979194437e-07	1.2394898631865918e-05	-4.0354271251312515e-06	-6.2629837739252585e-06	-3.3952820390873842e-06	5.1044289509049395e-06	-9.473148595202133e-06	-1.740772571599317e-06	-2.3959031976383857e-06	-2.1472063278812147e-06	1.2257964188473413e-05	1.9683256005731937e-07	8.715494180505471e-07	4.302863701736312e-06	3.6671599528904737e-06	9.321600989348271e-06	8.80227388758598e-06	7.996352757246051e-06	1.3331102296555865e-05	9.049188644942618e-06	-1.8456313713834386e-06	1.9547391177619306e-05	1.6045541101875644e-05	-1.7909433476985854e-05	1.8930958497648923e-05	1.2507093022186906e-06	7.055318906361564e-06	-2.4443730825077657e-05	-8.031147501059291e-06	1.3600087856939204e-05	-0.00016510596160255607
5	2.0652602327402396e-05	2.4192194999624224e-05	1.1602427742494955e-05	2.7832268490073416e-05	1.6396641603589902e-05	2.1824070915237685e-05	2.3892557855642344e-05	1.5136593062402458e-05	2.763279182095209e-05	2.805199514781146e-05	1.9702209483194607e-05	2.93355337966369e-05	2.5206587864230774e-05	2.6231106043028207e-05	1.6263842930029914e-05	1.8813573519617122e-06	2.0101871380649206e-05	1.6225257730494073e-05	9.535232832714278e-06	1.241277411702263e-05	1.82674515705703e-05	2.4882001983694736e-05	3.36560809483198e-06	1.6385006297434037e-05	1.6722674830689532e-05	1.0266291559850872e-05	2.286835484827034e-06	1.7760393980579517e-05	-2.125556109521872e-06	2.9352872992137824e-05	1.7620257985597983e-05	3.586152863280272e-05	2.0270701571571448e-05	1.3265487388256704e-05	-2.003949532812625e-06	2.0594368303055513e-05	2.1206982657235838e-05	2.2212627120247445e-05	-2.3011111612739762e-06	8.18165252131673e-06	1.2356752190106972e-05	1.9838146235412128e-05	1.6558907688997454e-05	2.238896393312993e-05	2.4872544325623924e-05	1.5745629200137778e-05	-4.69126764680229e-06	2.67377310974333e-06	-9.571884889585788e-07	1.9118414109343003e-05	2.7578977255335126e-05	1.20355256496168e-05	1.5117680157531011e-05	5.170346802844799e-06	1.3194235412681801e-05	7.622104198461746e-06	-8.633756065391562e-06	1.1634988077475244e-05	9.450916562654265e-06	1.0011880905059944e-05	-1.4215672178546495e-06	4.903024814677992e-07	2.703335073179419e-05	1.915585395974263e-06	1.60315827461224e-05	-8.893952828372908e-06	3.457634404410797e-06	1.7586723055377315e-05	3.2930109482122165e-06	-1.5789943946495069e-07	1.649771662202942e-05	-5.3711881909310985e-06	-8.33608523791797e-06	-4.519149578902003e-06	6.794038809870884e-06	-1.2608842208699372e-05	-2.316983255983565e-06	-3.188967750557703e-06	-2.8579500791835006e-06	1.6315455700824557e-05	2.6198582935287773e-07	1.1600397670156702e-06	5.72714857320102e-06	4.881021419158975e-06	1.2407131042647856e-05	1.1715902206214477e-05	1.0643214254263692e-05	1.774381174707163e-05	1.204454787066504e-05	-2.4565512198325924e-06	2.6017745681214494e-05	2.1356753129494512e-05	-2.383760990225386e-05	2.5197268485494328e-05	1.6647048319937642e-06	9.390690109877689e-06	-3.253481583952168e-05	-1.0689526357364826e-05	1.8101833840065044e-05	-0.00021975745409679
6	2.2610057394584554e-05	2.6485132903407973e-05	1.2702106640878997e-05	3.047021280931222e-05	1.795071642103466e-05	2.389255785564099e-05	2.6157096130337947e-05	1.6571240392562933e-05	3.0251829727789838e-05	3.0710765174763275e-05	2.156958625132194e-05	3.21159577048884e-05	2.759566999339879e-05	2.8717292075555015e-05	1.7805331080072954e-05	2.059672531007776e-06	2.200712813086936e-05	1.7763088772674717e-05	1.0438982855557321e-05	1.3589257700445677e-05	1.9998841885188103e-05	2.7240319840810324e-05	3.6846006612378604e-06	1.7937978319762114e-05	1.8307651099793427e-05	1.1239331379067062e-05	2.5035819091576506e-06	1.9443725341989105e-05	-2.327016463583067e-06	3.2134940310529935e-05	1.9290307247777537e-05	3.926048677988515e-05	2.2191960058883848e-05	1.4522791194098684e-05	-2.193884007180377e-06	2.254630394541009e-05	2.321698193015905e-05	2.4317941444450824e-05	-2.519210635198805e-06	8.957110109270467e-06	1.3527926011448898e-05	2.1718407098251903e-05	1.812836209716289e-05	2.4510991472570576e-05	2.7229965785257933e-05	1.7238001017266424e-05	-5.135906316601144e-06	2.9271935087415785e-06	-1.0479108796896681e-06	2.0930458711836816e-05	3.019291461394729e-05	1.3176253597386582e-05	1.6550534921268683e-05	5.660392627960468e-06	1.4444785951384625e-05	8.344527757940897e-06	-9.452064058306921e-06	1.2737753046645222e-05	1.0346675083629488e-05	1.0960807664940028e-05	-1.5563034564078668e-06	5.367733843393328e-07	2.959557357102702e-05	2.0971447113828986e-06	1.7551057259981128e-05	-9.736922288356085e-06	3.785349230759682e-06	1.9253593874567063e-05	3.6051227520749073e-06	-1.7286515918327368e-07	1.8061371336664565e-05	-5.880269776605028e-06	-9.126179969358887e-06	-4.9474748864027805e-06	7.437978274941044e-06	-1.380390913931911e-05	-2.5365870881351955e-06	-3.4912183330001576e-06	-3.128826783996082e-06	1.786183571282869e-05	2.868168642542896e-07	1.2699884158145087e-06	6.269968108356786e-06	5.3436449645356535e-06	1.3583079775094042e-05	1.2826336222064225e-05	1.1651978832346503e-05	1.9425571443250335e-05	1.3186130945165517e-05	-2.6893833131845117e-06	2.848370940399325e-05	2.3380947658065864e-05	-2.609694020615302e-05	2.7585467323305573e-05	1.8224856703157826e-06	1.0280740363521896e-05	-3.561846791955087e-05	-1.170268039976064e-05	1.9817526894809562e-05	-0.00024058608069083703
7	1.4324093718520658e-05	1.6779060717765224e-05	8.047134192157023e-06	1.930371853051532e-05	1.1372272959867588e-05	1.513659306240196e-05	1.657124039256333e-05	1.0498336924702364e-05	1.916536683721024e-05	1.9456115075415652e-05	1.3664926609503064e-05	2.0346343222244616e-05	1.7482616532653692e-05	1.8193194995201765e-05	1.1280167344526105e-05	1.3048592424486466e-06	1.3942121433869873e-05	1.1253405680037649e-05	6.6133829799497995e-06	8.609168807901168e-06	1.2669816817622197e-05	1.7257492429705296e-05	2.3342959403338635e-06	1.1364203022085492e-05	1.1598400903760181e-05	7.120425799795935e-06	1.5860880524503441e-06	1.2318135207499977e-05	-1.4742289825804688e-06	2.035836922542922e-05	1.2220940621867042e-05	2.487259904985968e-05	1.4059217547906664e-05	9.200587972350815e-06	-1.3898859068770975e-06	1.4283704153606404e-05	1.4708597117867239e-05	1.5406085274920278e-05	-1.5959892805900026e-06	5.674575805501027e-06	8.57031349472026e-06	1.375920871244037e-05	1.1484816385527376e-05	1.5528387781583216e-05	1.7250932850509566e-05	1.0920748133546079e-05	-3.2537380213000907e-06	1.8544576610186936e-06	-6.63880386828538e-07	1.3260021720766914e-05	1.9128042490907596e-05	8.347519340360726e-06	1.0485219438703572e-05	3.5860145364314357e-06	9.151169503937747e-06	5.286488024137932e-06	-5.988142756200061e-06	8.06971717140441e-06	6.554903465591778e-06	6.94397336031908e-06	-9.85961078072422e-07	3.400607140752194e-07	1.874961049795045e-05	1.3285989001665935e-06	1.1119077880417366e-05	-6.168608285875955e-06	2.3981229323070513e-06	1.2197681689374655e-05	2.283944497189144e-06	-1.0951483658777787e-07	1.1442375894779973e-05	-3.725312762383753e-06	-5.781686215643717e-06	-3.1343615235507903e-06	4.712163973192509e-06	-8.745156402871831e-06	-1.606997741825308e-06	-2.2117829123993968e-06	-1.9821978910019036e-06	1.1315964584709925e-05	1.8170637835774298e-07	8.045726188169571e-07	3.972197382291901e-06	3.385346172931115e-06	8.605254922138806e-06	8.125837051351729e-06	7.381849319883917e-06	1.2306634212949077e-05	8.353776912060189e-06	-1.703798356226525e-06	1.8045213943226427e-05	1.481247391977775e-05	-1.6533129958754545e-05	1.7476152860313366e-05	1.15459483745127e-06	6.51313200550023e-06	-2.256527985249473e-05	-7.413970158440033e-06	1.2554948780384187e-05	-0.00015241790443276535
8	2.614952374790886e-05	3.063121865360992e-05	1.4690543834430598e-05	3.5240138472704076e-05	2.076079141029744e-05	2.763279182095373e-05	3.0251829727793365e-05	1.9165366837212005e-05	3.498756885393884e-05	3.551834784135807e-05	2.4946173203726868e-05	3.714351467732073e-05	3.191560354042597e-05	3.321280870720933e-05	2.059264688241197e-05	2.3821016825637724e-06	2.545220959143945e-05	2.0543791799861818e-05	1.2073141846636409e-05	1.571657297249365e-05	2.312953840323543e-05	3.150462549239325e-05	4.26140238439543e-06	2.074605923709167e-05	2.1173602032392138e-05	1.2998780041926198e-05	2.89550236188403e-06	2.2487521756576414e-05	-2.691296674497382e-06	3.7165468893904865e-05	2.2310086996994364e-05	4.54064761308817e-05	2.5665975828589502e-05	1.6796245431334655e-05	-2.5373231453919914e-06	2.6075790085755585e-05	2.685145861163879e-05	2.8124766611792507e-05	-2.9135776695062302e-06	1.0359290975134934e-05	1.5645640182278587e-05	2.5118291045051353e-05	2.096624643173147e-05	2.834803744241239e-05	3.1492650572700206e-05	1.993650476426702e-05	-5.939901073633014e-06	3.3854277694092093e-06	-1.2119549258950731e-06	2.4206994152562124e-05	3.4919430938954764e-05	1.5238915600269798e-05	1.9141420050882734e-05	6.546492512787374e-06	1.6706028944431757e-05	9.6508125991588e-06	-1.0931726941067064e-05	1.473177046724467e-05	1.1966383856949856e-05	1.2676655141939639e-05	-1.7999332545718165e-06	6.208019783438819e-07	3.422857980510559e-05	2.425439903847543e-06	2.029856804922179e-05	-1.1261177986743846e-05	4.377922526971884e-06	2.2267626369501082e-05	4.169482694108019e-06	-1.9992614376696586e-07	2.0888768676944264e-05	-6.800790085755079e-06	-1.0554827688920398e-05	-5.721971854222681e-06	8.60234833298506e-06	-1.5964826782751025e-05	-2.9336742999917134e-06	-4.037747234104257e-06	-3.618625502065084e-06	2.065799697022143e-05	3.3171629210081927e-07	1.4687973435602526e-06	7.251493310555556e-06	6.180159937762338e-06	1.5709427930671054e-05	1.483422079759364e-05	1.3476024933026263e-05	2.246652597589782e-05	1.525033918649974e-05	-3.1103898405933427e-06	3.2942660095443004e-05	2.704109217253236e-05	-3.0182256761188313e-05	3.1903803704660925e-05	2.1077846678779674e-06	1.189012745922491e-05	-4.119432146817599e-05	-1.353466352106761e-05	2.2919839658822206e-05	-0.00027824836180859067
9	2.6546225153323753e-05	3.109590962108612e-05	1.4913406760792455e-05	3.577474906805978e-05	2.1075743040368692e-05	2.805199514781303e-05	3.0710765174766744e-05	1.9456115075417367e-05	3.5518347841357986e-05	3.605717901253033e-05	2.5324619177161952e-05	3.7707000445420864e-05	3.239977927154857e-05	3.371666369206272e-05	2.0905047675566708e-05	2.418239361185542e-06	2.583833239096638e-05	2.0855451436883246e-05	1.2256297470597518e-05	1.595500127606811e-05	2.348042511458117e-05	3.19825664801675e-05	4.326049998295598e-06	2.1060787372698096e-05	2.149481620688039e-05	1.3195978062089895e-05	2.939428586599056e-06	2.2828668753023897e-05	-2.7321249963993024e-06	3.7729287718494155e-05	2.2648542219045715e-05	4.609531517321795e-05	2.6055341569269953e-05	1.705105290823323e-05	-2.575815611544428e-06	2.6471372914492564e-05	2.7258808721390937e-05	2.8551433443258446e-05	-2.9577781057138298e-06	1.0516446620819167e-05	1.5882992399808813e-05	2.5499348132562906e-05	2.1284314917640605e-05	2.8778091404487238e-05	3.19704098949299e-05	2.0238951552028427e-05	-6.030012355454126e-06	3.436786408556992e-06	-1.2303408906658657e-06	2.4574226408635613e-05	3.544917623999028e-05	1.5470097601667036e-05	1.9431805004315355e-05	6.6458060913212255e-06	1.6959467791924647e-05	9.797220272139397e-06	-1.109756672778517e-05	1.4955258822326965e-05	1.2147919908602256e-05	1.2868966365625677e-05	-1.8272391458234216e-06	6.302198560715043e-07	3.474784454755148e-05	2.4622350450471076e-06	2.0606507518814605e-05	-1.1432015711248325e-05	4.444337809941851e-06	2.2605437442513115e-05	4.232735840151948e-06	-2.0295912375452216e-07	2.1205661786410283e-05	-6.903961486158361e-06	-1.0714949724735358e-05	-5.808777040359046e-06	8.732850276594512e-06	-1.6207021221279907e-05	-2.978179612174667e-06	-4.099001887073126e-06	-3.6735218679101474e-06	2.097138915702173e-05	3.36748594812869e-07	1.4910797367723509e-06	7.361502105185477e-06	6.273916067190706e-06	1.5947747840373393e-05	1.5059263375629543e-05	1.3680462997821414e-05	2.2807354455810074e-05	1.548169448943608e-05	-3.1575760162593635e-06	3.344241679020927e-05	2.7451319118621748e-05	-3.0640136751324435e-05	3.238780042635004e-05	2.139760819647309e-06	1.2070506663034071e-05	-4.181926000927828e-05	-1.3739991162686876e-05	2.3267545134921585e-05	-0.0002824695291708714
